epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.448,0.94506,2.65489,1.14963,0.78685,0.76669,0.83276,0.61295,0.85213,1.38075,1.07201,0.00332211,0.00332211,0.00332211
2,246.985,0.91505,1.32726,1.09101,0.8756,0.81489,0.8995,0.66165,0.87638,0.9217,1.13612,0.00664227,0.00664227,0.00664227
3,358.486,0.97569,1.16936,1.12254,0.79144,0.83957,0.87884,0.64405,0.91489,0.92329,1.15275,0.00994922,0.00994922,0.00994922
4,464.667,1.038,1.07101,1.16239,0.85586,0.75764,0.86808,0.62643,0.97548,0.95267,1.19309,0.0099406,0.0099406,0.0099406
5,563.453,1.00346,0.92846,1.14316,0.84496,0.83114,0.87522,0.63812,0.95477,0.8372,1.18909,0.0099208,0.0099208,0.0099208
6,669.285,0.9966,0.85954,1.15552,0.8596,0.84029,0.89437,0.6635,0.91393,0.77708,1.16979,0.009901,0.009901,0.009901
7,836.991,0.96576,0.80958,1.13935,0.91141,0.84868,0.90338,0.68752,0.88846,0.73096,1.15876,0.0098812,0.0098812,0.0098812
8,997.598,0.96036,0.76137,1.13799,0.90345,0.84794,0.91803,0.70026,0.85945,0.68456,1.13317,0.0098614,0.0098614,0.0098614
9,1104.19,0.9573,0.74191,1.13251,0.90924,0.82599,0.89853,0.68387,0.8884,0.71014,1.16378,0.0098416,0.0098416,0.0098416
10,1214.97,0.94438,0.71718,1.13115,0.90376,0.88677,0.93441,0.71038,0.8772,0.62963,1.18108,0.0098218,0.0098218,0.0098218
11,1321.92,0.92464,0.6931,1.12514,0.9112,0.86646,0.93722,0.72076,0.84224,0.61547,1.12955,0.009802,0.009802,0.009802
12,1430.93,0.90892,0.67982,1.11768,0.90567,0.89824,0.93275,0.71625,0.85661,0.58216,1.14576,0.0097822,0.0097822,0.0097822
13,1538.45,0.90285,0.64525,1.10713,0.92109,0.89131,0.9485,0.72748,0.85804,0.56506,1.12999,0.0097624,0.0097624,0.0097624
14,1648.24,0.88902,0.63324,1.1036,0.89147,0.91117,0.93782,0.72409,0.83383,0.55881,1.15225,0.0097426,0.0097426,0.0097426
