                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94452,                 1.8196,                 1.2038,                0.85144,                0.75474,                0.83675,                0.63617,                0.84618,                0.90532,                 1.1467,              0.0033221,              0.0033221,              0.0033221
                      2,                0.88861,                0.85623,                  1.123,                0.76656,                0.83612,                0.87247,                0.64606,                0.92173,                0.93633,                 1.1996,              0.0066225,              0.0066225,              0.0066225
                      3,                0.95778,                0.86922,                 1.1349,                0.84952,                0.75464,                0.84968,                0.61493,                0.95912,                0.90828,                 1.1969,              0.0098899,              0.0098899,              0.0098899
                      4,                 1.0204,                0.92763,                 1.1756,                0.86461,                0.78704,                 0.8645,                0.63778,                0.95668,                0.83244,                 1.2189,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0035,                0.84574,                 1.1612,                0.77238,                0.78638,                 0.8414,                0.62161,                0.92456,                 0.9629,                 1.2175,               0.009802,               0.009802,               0.009802
                      6,                0.99293,                0.80079,                 1.1723,                0.75943,                0.72314,                0.80761,                0.58621,                0.97337,                 1.0574,                 1.2394,              0.0097525,              0.0097525,              0.0097525
                      7,                0.96797,                0.76561,                 1.1554,                0.90448,                0.86111,                0.92391,                0.70794,                0.89275,                0.62307,                 1.1704,               0.009703,               0.009703,               0.009703
                      8,                0.96777,                0.73847,                 1.1559,                0.89859,                0.85731,                0.92322,                0.70607,                  0.852,                0.69467,                 1.1443,              0.0096535,              0.0096535,              0.0096535
                      9,                0.94677,                0.72364,                 1.1392,                0.86704,                0.86432,                0.91663,                0.69136,                0.91472,                0.67052,                 1.2048,               0.009604,               0.009604,               0.009604
                     10,                 0.9427,                0.69599,                 1.1421,                0.87333,                0.88881,                0.93927,                0.71215,                0.86797,                0.63048,                 1.1649,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91929,                0.67625,                 1.1369,                0.79736,                0.77756,                  0.838,                 0.6329,                0.91843,                0.94848,                 1.2154,               0.009505,               0.009505,               0.009505
                     12,                  0.905,                0.65498,                 1.1296,                0.90882,                0.90293,                 0.9442,                0.73988,                0.82023,                0.55728,                 1.1493,              0.0094555,              0.0094555,              0.0094555
                     13,                0.89446,                0.63332,                 1.1206,                0.93192,                0.90398,                0.94891,                0.73744,                0.81161,                0.55281,                 1.1306,               0.009406,               0.009406,               0.009406
                     14,                0.88314,                0.62185,                 1.1149,                0.89653,                0.88068,                0.94085,                0.72367,                0.85519,                 0.5883,                 1.1582,              0.0093565,              0.0093565,              0.0093565
                     15,                0.88812,                0.61954,                  1.112,                0.93785,                0.91817,                0.94947,                0.75148,                0.81152,                0.52984,                 1.1203,               0.009307,               0.009307,               0.009307
                     16,                0.86954,                 0.5954,                 1.0998,                 0.9429,                 0.9023,                0.95241,                 0.7544,                0.81017,                0.52387,                 1.1236,              0.0092575,              0.0092575,              0.0092575
                     17,                0.86615,                0.59457,                 1.0995,                0.93722,                0.91695,                0.95398,                0.74983,                0.80489,                0.49777,                 1.1329,               0.009208,               0.009208,               0.009208
                     18,                0.85715,                0.59032,                 1.0986,                 0.9103,                0.90399,                0.94783,                0.74375,                0.83699,                0.54016,                 1.1382,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.8485,                0.57135,                 1.0999,                 0.9209,                 0.9132,                0.94879,                0.75089,                 0.8182,                0.49216,                 1.1367,               0.009109,               0.009109,               0.009109
                     20,                0.85696,                0.58005,                 1.0954,                0.94279,                0.91433,                0.94792,                0.75077,                0.81844,                0.51742,                 1.1439,              0.0090595,              0.0090595,              0.0090595
                     21,                0.85779,                0.57826,                 1.0992,                0.90979,                0.92242,                0.95211,                0.75775,                0.79504,                0.48916,                 1.1084,                0.00901,                0.00901,                0.00901
                     22,                0.82836,                0.56389,                 1.0782,                0.94276,                0.90706,                0.95191,                0.75488,                0.82621,                 0.5171,                 1.1272,              0.0089605,              0.0089605,              0.0089605
                     23,                0.84163,                0.54624,                 1.0838,                0.94375,                0.90727,                0.95069,                0.75005,                0.80633,                0.49214,                 1.1262,               0.008911,               0.008911,               0.008911
                     24,                0.82588,                 0.5448,                 1.0753,                0.95189,                0.92014,                0.95553,                0.75823,                0.82126,                0.47581,                  1.132,              0.0088615,              0.0088615,              0.0088615
                     25,                0.81646,                0.52695,                 1.0708,                0.92907,                0.90072,                0.94015,                0.74711,                0.81154,                0.51184,                 1.1272,               0.008812,               0.008812,               0.008812
                     26,                0.83414,                0.53638,                 1.0799,                0.92901,                0.90832,                0.95654,                0.76327,                0.79788,                0.48556,                 1.1249,              0.0087625,              0.0087625,              0.0087625
                     27,                0.81104,                0.52699,                 1.0727,                0.91424,                0.93467,                0.95638,                 0.7631,                0.79905,                0.48141,                 1.1328,               0.008713,               0.008713,               0.008713
                     28,                0.81914,                0.51662,                 1.0751,                 0.9433,                0.90833,                0.95261,                0.76585,                0.80009,                0.47996,                 1.1337,              0.0086635,              0.0086635,              0.0086635
                     29,                0.80759,                0.51847,                 1.0743,                 0.9431,                0.90579,                0.96032,                0.76619,                0.78305,                0.47074,                 1.1106,               0.008614,               0.008614,               0.008614
                     30,                0.80151,                0.51015,                 1.0724,                0.93961,                0.92043,                0.94894,                0.76217,                0.78215,                0.45957,                 1.1136,              0.0085645,              0.0085645,              0.0085645
                     31,                0.79918,                0.50812,                 1.0715,                0.93113,                0.92152,                0.95408,                0.76556,                0.78311,                0.46557,                 1.1198,               0.008515,               0.008515,               0.008515
                     32,                0.80715,                0.51245,                 1.0747,                0.93852,                0.91714,                0.96331,                0.76725,                0.79262,                0.46504,                 1.1281,              0.0084655,              0.0084655,              0.0084655
