epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3423,0.96461,1.98386,1.23245,0.84314,0.29671,0.49419,0.32137,1.10333,2.84604,1.51488,0.000412541,0.000412541,0.000412541
2,75.6135,1.05175,1.29346,1.26094,0.42462,0.57181,0.52072,0.36284,1.12599,2.27962,1.57897,0.000825816,0.000825816,0.000825816
3,113.048,1.02161,1.06864,1.26026,0.5713,0.58657,0.58257,0.41169,1.09506,1.7598,1.421,0.00123568,0.00123568,0.00123568
4,150.265,1.03113,0.94702,1.26083,0.74587,0.70474,0.75549,0.50924,1.10826,1.35796,1.44506,0.00123466,0.00123466,0.00123466
5,187.349,0.97919,0.83714,1.22856,0.78382,0.78025,0.81688,0.55381,1.073,1.00721,1.39122,0.00122955,0.00122955,0.00122955
6,224.187,0.95811,0.75291,1.22073,0.83356,0.8296,0.88825,0.61039,1.06229,0.88865,1.36321,0.00122443,0.00122443,0.00122443
7,261.148,0.92732,0.72937,1.20977,0.86799,0.77984,0.86463,0.61004,1.00132,0.8767,1.37063,0.00121932,0.00121932,0.00121932
8,293.29,0.90962,0.69196,1.19147,0.85486,0.87241,0.89828,0.66793,0.92951,0.7347,1.27447,0.0012142,0.0012142,0.0012142
9,330.593,0.89424,0.66933,1.18834,0.84643,0.81541,0.86575,0.61214,0.9783,0.82774,1.35436,0.00120909,0.00120909,0.00120909
10,363.842,0.8807,0.65495,1.17853,0.8885,0.85911,0.91097,0.66836,0.94044,0.76604,1.29583,0.00120398,0.00120398,0.00120398
11,400.725,0.88364,0.61925,1.17539,0.85284,0.82508,0.87439,0.64222,0.91463,0.86099,1.30041,0.00119886,0.00119886,0.00119886
12,433.725,0.85515,0.5883,1.17367,0.8654,0.82335,0.87394,0.65209,0.86945,0.83806,1.27585,0.00119375,0.00119375,0.00119375
13,466.562,0.84461,0.60298,1.15847,0.88006,0.89961,0.92519,0.67089,0.93982,0.69077,1.32516,0.00118864,0.00118864,0.00118864
14,503.871,0.83638,0.58375,1.15754,0.87668,0.8874,0.917,0.69523,0.84801,0.67669,1.22819,0.00118352,0.00118352,0.00118352
